Price,Close,High,Low,Open,Volume
Ticker,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS,ONGC.NS
Date,,,,,
2021-10-12,128.16050720214844,129.96282791250934,127.53361148240883,129.37511541719869,11619888
2021-10-13,125.37869262695312,128.35643896825204,125.14360518686881,128.23888926968795,16690451
2021-10-14,124.63424682617188,126.7500096656584,124.32079295107289,126.16229710152088,14821875
2021-10-18,127.0242691040039,129.68856104353168,126.31900691504066,128.31723184820734,22899876
2021-10-19,124.28160095214844,128.1213176146646,123.81142619643428,128.1213176146646,10331930
2021-10-20,121.3822250366211,124.86932900313609,120.40270413749717,124.79096254838929,17118996
2021-10-21,121.46058654785156,125.61375738250902,121.10796142992744,123.49799471792254,31555789
2021-10-22,123.06700134277344,124.08570541286225,121.06877642779949,123.02781811756972,27317028
2021-10-25,126.47573852539062,127.69034687793747,124.51669665258692,124.59506311031615,34568006
2021-10-26,127.8078842163086,128.47395121448386,125.61375513934678,128.16050932793567,33022684
2021-10-27,123.73308563232422,128.1997108747562,123.02783530827877,127.80790248205466,21652522
2021-10-28,117.69923400878906,122.91029259487432,116.5238088782944,117.54251304946499,24815027
2021-10-29,116.79808044433594,118.99220976327351,114.40804693544044,117.46414751596726,18736450
2021-11-01,120.01090240478516,120.36353951357597,116.28872278257744,117.54251438550666,11444653
2021-11-02,119.85417938232422,121.30387515096284,118.60039975800146,120.63779613141695,20609479
2021-11-03,119.10973358154297,120.83368786039387,117.38577930269209,118.48283785549499,11591857
2021-11-04,119.14893341064453,119.77582922405504,118.522037597234,119.10975018036078,1114216
2021-11-08,121.3822250366211,121.89158307839088,118.87465392627227,119.85417482539621,16568525
2021-11-09,122.7535629272461,123.92898808884901,121.46060003230014,122.63602519390304,13601954
2021-11-10,123.57634735107422,124.35996402667652,122.59682650657135,122.79273067547192,13900618
2021-11-11,120.28516387939453,122.91028461658247,119.93253875454411,122.71438044088313,14158749
2021-11-12,121.18632507324219,121.93077054811172,120.12844963960693,120.67697897079292,10552485
2021-11-15,123.65472412109375,127.141816227132,122.24421159588654,122.5968367379277,45750584
2021-11-16,123.14537048339844,125.14359563604692,122.87111178843443,124.90850821390423,12956283
2021-11-17,123.34126281738281,124.79095848368347,122.71437902799622,123.02782092268951,11420415
2021-11-18,120.91204833984375,123.0278108483758,120.4418735792629,123.0278108483758,18351511
2021-11-22,119.0837631225586,124.89371304931483,118.63684103611497,122.90289182679719,21558590
2021-11-23,119.20565032958984,120.01823146666817,116.52413009743053,118.474332265821,21216047
2021-11-24,124.69054412841797,126.64074584517114,121.07456138562735,121.07456138562735,36294271
2021-11-25,126.0313491821289,126.76266730312179,123.95926464064225,125.13750490179972,11554142
2021-11-26,119.53068542480469,123.71547315314201,118.8399865264172,123.71547315314201,23135841
2021-11-29,117.0929183959961,118.67744874895764,115.30523040906394,117.82423628228568,18736522
2021-11-30,115.46778869628906,120.0588673264992,114.65520752995066,116.48351515421207,22980651
2021-12-01,115.58965301513672,116.72726151227512,113.47693735016232,115.71153521161487,14278744
2021-12-02,117.01168823242188,117.53986103220248,114.08639106700947,114.1676541434394,8561767
2021-12-03,118.55555725097656,119.32751908313216,116.32095960821381,117.01165838466835,10690334
2021-12-06,116.48350524902344,118.51495799212462,115.99595163107773,118.47432645746188,7749262
2021-12-07,118.55555725097656,118.83996554692878,117.41794886517066,117.82423934567298,10253663
2021-12-08,120.58704376220703,122.17158700356417,119.2869212962536,119.44943505462214,12266948
2021-12-09,119.73384094238281,121.80591301677313,118.92125976842435,121.48088550679164,7989291
2021-12-10,119.89633178710938,120.26199076571818,118.27116974973481,118.83997398301544,10324085
2021-12-13,118.59620666503906,122.29345307501458,118.10866545430812,121.0339499157038,13595587
2021-12-14,119.36815643310547,119.81507850967938,116.9710447120315,117.21482151734486,12331999
2021-12-15,116.97103118896484,120.01820990558775,116.6866352814812,118.88060147764931,10361033
2021-12-16,118.10865020751953,118.8399681287109,117.4585829447929,118.06801867878629,12156709
2021-12-17,113.2737808227539,117.90550221225222,112.54246291862337,117.17417190912022,17667617
2021-12-20,108.8858642578125,111.85178022762177,106.97629376831674,111.72989802574044,17238729
2021-12-21,110.55164337158203,111.20171062693123,108.7233361903508,109.73906240214593,8615570
2021-12-22,111.16107177734375,112.09553487104881,109.94220040346717,111.6486128874939,4968143
2021-12-23,114.16765594482422,114.5739465353752,111.44550402853075,112.54249358262032,6324169
2021-12-24,112.54248046875,115.06148679624395,111.48612257660726,115.02085526212242,5657495
2021-12-27,111.6080093383789,112.17681357911094,110.51101998917943,110.95794203511264,4404298
2021-12-28,113.35504913330078,114.16763013067211,112.54246813592944,113.07064082462,8738089
2021-12-29,112.86750793457031,114.45205097215772,111.68926783916186,113.92386582662745,6571286
2021-12-30,114.16765594482422,114.73646029179463,112.54249358262032,112.74563887789581,11556524
2021-12-31,115.7115249633789,116.15844697588737,113.31441358592649,114.12699455448674,6393760
2022-01-03,116.23971557617188,116.56474301949689,114.73643575303875,115.670911350852,3765911
2022-01-04,120.09947967529297,120.7495469842978,116.2803512835183,116.2803512835183,16351836
2022-01-05,122.17154693603516,122.78098262929971,119.77442328999383,120.66826726638222,12977680
2022-01-06,122.53721618652344,123.02475734277235,120.54639523408596,122.3747024677738,9012777
2022-01-07,127.61583709716797,127.98149603460952,122.9841282919061,123.1060104713863,30889365
2022-01-10,128.6721954345703,129.52539549325846,127.08765269928999,128.59093238183763,16418985
2022-01-11,130.78494262695312,131.35374699135667,128.06280302623432,129.03789799364114,14457548
2022-01-12,134.03524780273438,134.64468361790202,131.15058246447356,132.20694035723147,21220614
2022-01-13,133.22265625,134.4821593155351,132.49133828885184,134.0352372730546,7445346
2022-01-14,130.86618041992188,132.6944877801533,130.17548156867775,132.41007945340507,11646259
2022-01-17,134.76657104492188,136.6761290580406,131.88190586025013,132.0444195891747,32577835
2022-01-18,133.1414031982422,136.83863686760202,132.77573182522664,136.75738620615584,11175409
2022-01-19,138.3419189453125,138.95135471159142,133.99460551958865,134.3196453676722,36648534
2022-01-20,135.57916259765625,138.87010616022806,135.2947542507409,138.87010616022806,14474454
2022-01-21,132.9788818359375,135.21347968920807,131.88190487464263,134.31964798730144,8625926
2022-01-24,134.6446533203125,136.7573686304275,133.06012303722656,134.23836286829044,28783449
2022-01-25,134.19773864746094,135.45724159708223,132.4506945682774,132.4506945682774,14249846
2022-01-27,134.6446533203125,137.12302755744724,133.66955871525968,134.1571122172864,25936832
2022-01-28,137.16368103027344,141.95790417166643,135.09159691360261,136.14795473768996,32790065
2022-01-31,140.25149536132812,142.07980273910266,137.77312065832206,139.43891430453945,24031034
2022-02-01,138.91073608398438,142.12042893806463,136.9199148756817,141.38911091019952,14220953
2022-02-02,139.19515991210938,141.42975817795204,138.54509248224508,138.58572402142502,12478192
